event_id,bracket_bundle_id,attempts,last_failed
11768,735377,1,2025-03-20
11768,735386,1,2025-03-20
11768,735438,1,2025-03-20
11768,735398,1,2025-03-20
11768,735407,1,2025-03-20
11768,735417,1,2025-03-20
11768,735409,1,2025-03-20
11768,735423,1,2025-03-20
11768,735490,1,2025-03-20
11768,735489,1,2025-03-20
11768,735495,1,2025-03-20
11768,735410,1,2025-03-20
11768,735390,1,2025-03-20
11768,735435,1,2025-03-20
11768,735484,1,2025-03-20
11768,735440,1,2025-03-20
11768,735402,1,2025-03-20
11768,735408,1,2025-03-20
11768,735421,1,2025-03-20
11768,735485,1,2025-03-20
11768,735391,1,2025-03-20
11768,735373,1,2025-03-20
11768,735369,1,2025-03-20
11768,735370,1,2025-03-20
11768,735376,1,2025-03-20
11768,735378,1,2025-03-20
11768,735419,1,2025-03-20
11768,735380,1,2025-03-20
11768,735385,1,2025-03-20
11768,735404,1,2025-03-20
11768,735405,1,2025-03-20
11768,735434,1,2025-03-20
11768,735383,1,2025-03-20
11768,735368,1,2025-03-20
11768,735372,1,2025-03-20
11768,735428,1,2025-03-20
11768,735486,1,2025-03-20
11768,735491,1,2025-03-20
11768,735415,1,2025-03-20
11768,735492,1,2025-03-20
11768,735392,1,2025-03-20
11768,735493,1,2025-03-20
11768,735393,1,2025-03-20
11768,735381,1,2025-03-20
11768,735384,1,2025-03-20
11768,735420,1,2025-03-20
11768,735494,1,2025-03-20
11768,735422,1,2025-03-20
11768,735401,1,2025-03-20
11768,735406,1,2025-03-20
11768,735427,1,2025-03-20
11768,735394,1,2025-03-20
11768,735371,1,2025-03-20
11768,735450,1,2025-03-20
11768,735451,1,2025-03-20
11768,735432,1,2025-03-20
11768,735436,1,2025-03-20
11768,735437,1,2025-03-20
11768,735433,1,2025-03-20
11768,735379,1,2025-03-20
11768,735459,1,2025-03-20
11768,735413,1,2025-03-20
11768,735466,1,2025-03-20
11768,735467,1,2025-03-20
11768,735374,1,2025-03-20
11768,735468,1,2025-03-20
11768,735469,1,2025-03-20
11768,735445,1,2025-03-20
11768,735387,1,2025-03-20
11768,735470,1,2025-03-20
11768,735471,1,2025-03-20
11768,735403,1,2025-03-20
11768,735477,1,2025-03-20
11768,735478,1,2025-03-20
11768,735479,1,2025-03-20
11768,735397,1,2025-03-20
11768,735483,1,2025-03-20
11768,735424,1,2025-03-20
11768,735388,1,2025-03-20
11768,735412,1,2025-03-20
11768,735442,1,2025-03-20
11768,735443,1,2025-03-20
11768,735399,1,2025-03-20
11768,735396,1,2025-03-20
11768,735418,1,2025-03-20
11768,735448,1,2025-03-20
11768,735449,1,2025-03-20
11768,735447,1,2025-03-20
11768,735426,1,2025-03-20
11768,735452,1,2025-03-20
11768,735453,1,2025-03-20
11768,735400,1,2025-03-20
11768,735431,1,2025-03-20
11768,735454,1,2025-03-20
11768,735455,1,2025-03-20
11768,735456,1,2025-03-20
11768,735457,1,2025-03-20
11768,735458,1,2025-03-20
11768,735460,1,2025-03-20
11768,735461,1,2025-03-20
11768,735375,1,2025-03-20
11768,735463,1,2025-03-20
11768,735446,1,2025-03-20
11768,735464,1,2025-03-20
11768,735382,1,2025-03-20
11768,735465,1,2025-03-20
11768,735472,1,2025-03-20
11768,735425,1,2025-03-20
11768,735439,1,2025-03-20
11768,735366,1,2025-03-20
11768,735395,1,2025-03-20
11768,735473,1,2025-03-20
11768,735474,1,2025-03-20
11768,735367,1,2025-03-20
11768,735475,1,2025-03-20
11768,735476,1,2025-03-20
11768,735429,1,2025-03-20
11768,735480,1,2025-03-20
11768,735481,1,2025-03-20
11768,735482,1,2025-03-20
11768,735430,1,2025-03-20
11768,735414,1,2025-03-20
11768,735441,1,2025-03-20
11765,733579,1,2025-03-20
11765,733572,1,2025-03-20
11765,733561,1,2025-03-20
11765,733565,1,2025-03-20
