event_id,event_name,match_id
19885,"ADCC US Open - Portland, OR",10448764
19885,"ADCC US Open - Portland, OR",10446875
19885,"ADCC US Open - Portland, OR",10431320
19885,"ADCC US Open - Portland, OR",10431867
19885,"ADCC US Open - Portland, OR",10433338
19885,"ADCC US Open - Portland, OR",10447772
19885,"ADCC US Open - Portland, OR",10446864
19885,"ADCC US Open - Portland, OR",10431343
19885,"ADCC US Open - Portland, OR",10433359
19885,"ADCC US Open - Portland, OR",10433339
19885,"ADCC US Open - Portland, OR",10432941
19885,"ADCC US Open - Portland, OR",10448767
19885,"ADCC US Open - Portland, OR",10431299
19885,"ADCC US Open - Portland, OR",10431321
19885,"ADCC US Open - Portland, OR",10432944
19885,"ADCC US Open - Portland, OR",10446825
19885,"ADCC US Open - Portland, OR",10432739
19885,"ADCC US Open - Portland, OR",10431864
19885,"ADCC US Open - Portland, OR",10431300
19885,"ADCC US Open - Portland, OR",10433351
19885,"ADCC US Open - Portland, OR",10446876
19885,"ADCC US Open - Portland, OR",10433284
19885,"ADCC US Open - Portland, OR",10448766
19885,"ADCC US Open - Portland, OR",10433385
19885,"ADCC US Open - Portland, OR",10433306
19885,"ADCC US Open - Portland, OR",10433346
19885,"ADCC US Open - Portland, OR",10446877
19885,"ADCC US Open - Portland, OR",10432743
19885,"ADCC US Open - Portland, OR",10431869
19885,"ADCC US Open - Portland, OR",10432945
19885,"ADCC US Open - Portland, OR",10432906
19885,"ADCC US Open - Portland, OR",10448768
19885,"ADCC US Open - Portland, OR",10433280
19885,"ADCC US Open - Portland, OR",10433340
19885,"ADCC US Open - Portland, OR",10446878
19885,"ADCC US Open - Portland, OR",10431302
19885,"ADCC US Open - Portland, OR",10432887
19885,"ADCC US Open - Portland, OR",10431667
19885,"ADCC US Open - Portland, OR",10431895
19885,"ADCC US Open - Portland, OR",10432926
19885,"ADCC US Open - Portland, OR",10433362
19885,"ADCC US Open - Portland, OR",10446680
19885,"ADCC US Open - Portland, OR",10433285
19885,"ADCC US Open - Portland, OR",10432744
19885,"ADCC US Open - Portland, OR",10432911
19885,"ADCC US Open - Portland, OR",10433307
19885,"ADCC US Open - Portland, OR",10432889
19885,"ADCC US Open - Portland, OR",10431305
19885,"ADCC US Open - Portland, OR",10434445
19885,"ADCC US Open - Portland, OR",10433363
19885,"ADCC US Open - Portland, OR",10432216
19885,"ADCC US Open - Portland, OR",10434453
19885,"ADCC US Open - Portland, OR",10431631
19885,"ADCC US Open - Portland, OR",10446679
19885,"ADCC US Open - Portland, OR",10432927
19885,"ADCC US Open - Portland, OR",10431661
19885,"ADCC US Open - Portland, OR",10433240
19885,"ADCC US Open - Portland, OR",10433384
19885,"ADCC US Open - Portland, OR",10433350
19885,"ADCC US Open - Portland, OR",10454508
19885,"ADCC US Open - Portland, OR",10432890
19885,"ADCC US Open - Portland, OR",10451017
19885,"ADCC US Open - Portland, OR",10433367
19885,"ADCC US Open - Portland, OR",10432949
19885,"ADCC US Open - Portland, OR",10431301
19885,"ADCC US Open - Portland, OR",10431897
19885,"ADCC US Open - Portland, OR",10454509
19885,"ADCC US Open - Portland, OR",10431635
19885,"ADCC US Open - Portland, OR",10433286
19885,"ADCC US Open - Portland, OR",10446681
19885,"ADCC US Open - Portland, OR",10448763
19885,"ADCC US Open - Portland, OR",10432217
19885,"ADCC US Open - Portland, OR",10433308
19885,"ADCC US Open - Portland, OR",10431666
19885,"ADCC US Open - Portland, OR",10432910
19885,"ADCC US Open - Portland, OR",10434449
19885,"ADCC US Open - Portland, OR",10431672
19885,"ADCC US Open - Portland, OR",10451018
19885,"ADCC US Open - Portland, OR",10433387
